FilerEIN,TaxYear,FormAndLineReferenceDesc,ExplanationTxt
364724966,2017,"Schedule C, Part II-A, Line 1b, Column (a) AFFILIATED ORGANIZATIONS","ORGANIZATION NAME: NORTHWESTERN LAKE FOREST HOSPITAL ADDRESS: 1000 N WESTMORELAND ROAD LAKE FOREST, Illinois 60645 EIN: 36-2179779 ORGANIZATION IS AN ELECTING ORGANIZATION GRASSROOTS LOBBYING AMOUNT: DIRECT LOBBYING AMOUNT: 35,454 TOTAL LOBBYING EXPENDITURES: 35,454 OTHER EXEMPT PURPOSE EXPENDITURES: 366,931,291 TOTAL EXEMPT PURPOSE EXPENDITURES: 366,966,745 LOBBYING NONTAXABLE AMOUNT: 1,000,000 TOTAL GRASSROOTS LESS NONTAXABLE AMOUNT: 250,000 TOTAL EXPENDITURES LESS NONTAXABLE AMOUNT: SHARE OF EXCESS LOBBYING EXPENDITURES:"
364724966,2017,"Schedule C, Part II-A, Line 1b, Column (a) AFFILIATED ORGANIZATIONS","ORGANIZATION NAME: NORTHWESTERN MEDICAL FACULTY FOUNDATION ADDRESS: 251 E HURON CHICAGO, Illinois 60611 EIN: 36-3097297 ORGANIZATION IS AN ELECTING ORGANIZATION GRASSROOTS LOBBYING AMOUNT: DIRECT LOBBYING AMOUNT: TOTAL LOBBYING EXPENDITURES: OTHER EXEMPT PURPOSE EXPENDITURES: 1,086,203,978 TOTAL EXEMPT PURPOSE EXPENDITURES: 1,086,203,978 LOBBYING NONTAXABLE AMOUNT: 1,000,000 TOTAL GRASSROOTS LESS NONTAXABLE AMOUNT: 250,000 TOTAL EXPENDITURES LESS NONTAXABLE AMOUNT: SHARE OF EXCESS LOBBYING EXPENDITURES:"
364724966,2017,"Schedule C, Part II-A, Line 1b, Column (a) AFFILIATED ORGANIZATIONS","ORGANIZATION NAME: LAKE FOREST HEALTH & FITNESS INSTITUTE ADDRESS: 1200 N WESTMORELAND ROAD LAKE FOREST, Illinois 60645 EIN: 36-3835030 ORGANIZATION IS AN ELECTING ORGANIZATION GRASSROOTS LOBBYING AMOUNT: DIRECT LOBBYING AMOUNT: TOTAL LOBBYING EXPENDITURES: OTHER EXEMPT PURPOSE EXPENDITURES: 7,039,876 TOTAL EXEMPT PURPOSE EXPENDITURES: 7,039,876 LOBBYING NONTAXABLE AMOUNT: 501,994 TOTAL GRASSROOTS LESS NONTAXABLE AMOUNT: 125,498 TOTAL EXPENDITURES LESS NONTAXABLE AMOUNT: SHARE OF EXCESS LOBBYING EXPENDITURES:"
364724966,2017,"Schedule C, Part II-A, Line 1b, Column (a) AFFILIATED ORGANIZATIONS","ORGANIZATION NAME: NORTHWESTERN MEMORIAL FOUNDATION ADDRESS: 251 E HURON CHICAGO, Illinois 60611 EIN: 36-3155315 ORGANIZATION IS AN ELECTING ORGANIZATION GRASSROOTS LOBBYING AMOUNT: DIRECT LOBBYING AMOUNT: TOTAL LOBBYING EXPENDITURES: OTHER EXEMPT PURPOSE EXPENDITURES: 11,478,757 TOTAL EXEMPT PURPOSE EXPENDITURES: 11,478,757 LOBBYING NONTAXABLE AMOUNT: 723,938 TOTAL GRASSROOTS LESS NONTAXABLE AMOUNT: 180,984 TOTAL EXPENDITURES LESS NONTAXABLE AMOUNT: SHARE OF EXCESS LOBBYING EXPENDITURES:"
361408475,2017,"FORM 990, SCHEDULE C, PART II-B, LINE 1B","PAID STAFF OF MANAGEMENT Philip Hale, Vice President for Governmental Affairs, is registered as a lobbyist with the U.S. House of Representatives, the United States Senate, and the State of Illinois."
361408475,2017,"FORM 990, SCHEDULE C, PART II-B, LINE 1D",MAILINGS TO MEMBERS Members of Congress were contacted and asked to support the DREAM Act.
361408475,2017,"FORM 990, SCHEDULE C, PART II-B, LINE 1G","DIRECT CONTACT WITH LEGISLATORS During fiscal year 2018, the lobbying activities of the University involved contacts with legislators and their staffs at the federal, state, and city levels. These contacts, through office visits, phone conversations, and large gatherings were principally for purposes of goodwill and for issues related to student financial aid and tax issues at the federal, state, and city levels. At the federal level, contacts also involved support for the DREAM Act. In addition, lobbying efforts were taken at the end of 2017 to advocate against proposed tax reform bill provisions that negatively impacted students."
361408475,2017,"FORM 990, SCHEDULE C, PART II-B, LINE 1I","Several Loyola medical students traveled to Washington, D.C. to advocate for the DREAM Act on January 30, 2018."
480561974,2017,"PART II-B, LINE 1:",LOBBYING EXPENSES THROUGH DUES PAID TO THE KANSAS HOSPITAL ASSOCIATION AND THE AMERICAN HOSPITAL ASSOCIATION.
363152959,2017,"Schedule C, Part II-A, Line 1b, Column (a) Filing Organization","ORGANIZATION NAME: NORTHWESTERN MEMORIAL HEALTHCARE ADDRESS: 251 E HURON CHICAGO, Illinois 60611 EIN: 36-3152959 ORGANIZATION IS AN ELECTING ORGANIZATION GRASSROOTS LOBBYING AMOUNT: DIRECT LOBBYING AMOUNT: 89,800 TOTAL LOBBYING EXPENDITURES: 89,800 OTHER EXEMPT PURPOSE EXPENDITURES: 985,483,920 TOTAL EXEMPT PURPOSE EXPENDITURES: 985,573,720 LOBBYING NONTAXABLE AMOUNT: 1,000,000 TOTAL GRASSROOTS LESS NONTAXABLE AMOUNT: 250,000 TOTAL EXPENDITURES LESS NONTAXABLE AMOUNT: SHARE OF EXCESS LOBBYING EXPENDITURES:"
262639114,2017,"SCHEDULE C, PART IV",.
860974183,2017,"PART I-A, LINE 1:",THE ORGANIZATION IS NOT INVOLVED IN ANY DIRECT POLITICAL CAMPAIGN ACTIVITY. THE ORGANIZATION'S ONLY INDIRECT POLITICAL CAMPAIGN ACTIVITY IS THE PAYMENT OF CERTAIN ADMINISTRATIVE AND FUNDRAISING EXPENSES AND PROVIDING EMPLOYEES FOR CERTAIN ADMINISTRATIVE FUNCTIONS ON BEHALF OF TWO POLITICAL ACTION COMMITTEES (PAC).
461457252,2017,"PART I-A, LINE 1:",THE ORGANIZATION MADE CONTRIBUTIONS TO CAIDIDATES' CAMPAIGNS.
510169168,2016,Pt II-B Line 1,Bangladesh
510169168,2016,Pt II-B Line 1,Domestic Violence Act 2010
510169168,2016,Pt II-B Line 1,Child Marriage Restraint Act 2017
510169168,2016,Pt II-B Line 1,Guatemala
510169168,2016,Pt II-B Line 1,Decree 8-2015 of the National Congress of the Republic of Guatemala.
941340523,2016,"SCHEDULE C, PART I-A, LINE 1; PART I-B LINE 4b","KAISER FOUNDATION HEALTH PLAN, INC. (""KFHP"") OBTAINED A RULING FROM THE INTERNAL REVENUE SERVICE IN 2001 UNDER WHICH IT IS PERMITTED TO COLLECT VOLUNTARY EMPLOYEE CONTRIBUTIONS TO CERTAIN LABOR UNION COMMITTEES ON POLITICAL EDUCATION (""COPES"") AS PART OF ITS PAYROLL ADMINISTRATION AND TRANSFER THOSE CONTRIBUTIONS TO THE COPES WITHOUT TAX CONSEQUENCE SO LONG AS IT IS FULLY REIMBURSED FOR ALL COSTS OF ADMINISTRATION BY THE UNIONS. KFHP DUE TO AN ADMINISTRATIVE ERROR HAD NOT HISTORICALLY COLLECTED THE COSTS FROM THE UNIONS. BEGINNING IN 2016, KFHP COMMENCED BILLING AND INITIATED COLLECTION OF THE COSTS. KFHP HAS FILED FORMS 4720 AND PAID EXCISE TAXES UNDER SECTION 4955 AND FILED FORMS 1120-POL AND PAID CERTAIN INCOME TAXES ASSOCIATED WITH THE INDIRECT POLITICAL EXPENDITURES UNDER SECTION 527(F). KFHP HAS IMPLEMENTED CORRECTIVE ACTION BY INVOICING EACH LABOR UNION FOR ITS SHARE OF THE COSTS OF ESTABLISHING AND OPERATING THE PAYROLL ADMINISTRATION SERVICE FOR WITHHOLDING OF VOLUNTARY EMPLOYEE CONTRIBUTIONS TO COPES. KFHP IS PURSUING AVAILABLE LEGAL AVENUES, INCLUDING ITS DISPUTE RESOLUTION AND ARBITRATION PROCESSES UNDER THE APPLICABLE COLLECTIVE BARGAINING AGREEMENTS, TO SEEK AND OBTAIN REIMBURSEMENT. TO PREVENT FUTURE ERRORS KFHP HAS ADOPTED PROCESSES AND PROCEDURES FOR REIMBURSEMENT. KFHP BILLS TIMELY FOR ALL COSTS FROM EACH LABOR UNION AND REQUIRES TIMELY PAYMENT FOR A UNION TO CONTINUE TO PARTICIPATE IN THIS ADMINISTRATION SERVICE. THE ANNUAL COST OF ADMINISTRATION INCURRED AND BILLED FOR 2016 WAS $23,011, OF WHICH $21,533 WAS REIMBURSED BY THE LABOR UNIONS IN 2016. KFHP IS EXPECTED TO RECEIVE THE REMAINING $1,478 IN THE NEAR FUTURE."
941340523,2016,"SCHEDULE C, PART II-B, LINE 1A THROUGH 1I","THE ORGANIZATION (HEALTH PLAN) IS A MEMBER OF THE KAISER PERMANENTE MEDICAL CARE PROGRAM AND PARTICIPATED IN AND BENEFITED FROM LOBBYING ACTIVITIES CONDUCTED AT THE REGIONAL AND NATIONAL LEVELS FOR THE BENEFIT OF ITS ENROLLED MEMBERS, THE BROADER COMMUNITY AND FOR THE HEALTH CARE INDUSTRY AS A WHOLE. AS AN ORGANIZATION EXEMPT FROM INCOME TAX UNDER INTERNAL REVENUE CODE SECTION 501(C)(3), KAISER FOUNDATION HEALTH PLAN, INC. (KFHP) HAS A POLICY PROHIBITING ANY OF KFHP'S RESOURCES BEING USED IN ANY POLITICAL CAMPAIGNS. THIS POLICY IS CLOSELY MONITORED FOR COMPLIANCE. DURING THE YEAR THIS ORGANIZATION MADE COMMENTS OR STATEMENTS CONCERNING LEGISLATION AND BALLOT INITIATIVES WHICH MAY AFFECT THE HEALTH CARE INDUSTRY. KFHP ENGAGED IN CONVERSATIONS WITH AND/OR WRITTEN COMMUNICATIONS TO VARIOUS FEDERAL, STATE, AND LOCAL OFFICIALS REGARDING MATTERS WHICH AFFECTED THE HEALTHCARE INDUSTRY AS A WHOLE. THE AMOUNT OF MONEY INVOLVED IN THE ACTIVITIES IS DETAILED ON LINES A THROUGH I. KFHP EMPLOYS INDIVIDUALS, INCLUDING ONE OR MORE REGISTERED LOBBYISTS AND/OR MAY RETAIN ONE OR MORE PROFESSIONAL CONSULTANTS TO REPRESENT KFHP'S INTERESTS IN VARIOUS LEGISLATIVE AND REGULATORY BODIES AND FROM TIME-TO-TIME TO KEEP INFORMED ABOUT FEDERAL AND STATE LEGISLATION HAVING AN IMPACT ON KFHP'S CHARITABLE ACTIVITIES AS AN EXEMPT HEALTH MAINTENANCE ORGANIZATION. THESE INDIVIDUALS ATTEMPT TO ENSURE THAT PROPOSED LEGISLATION AND ENACTED LAWS ARE COMPATIBLE WITH THE INTERESTS OF KFHP, ITS MEMBERS AND ITS PATIENTS BY PERFORMING THE FOLLOWING ACTIVITIES: - COLLECTING, ANALYZING AND DISTRIBUTING WITHIN THE ORGANIZATION, PUBLIC AND PRIVATE POLICY RECOMMENDATIONS REGARDING PROPOSED LEGISLATION THAT AFFECT THE OPERATION OF KFHP AND ITS ABILITY TO PROVIDE QUALITY HEALTH AND MEDICAL CARE SERVICES TO ITS MEMBERS AND THE BROADER COMMUNITY IN A COST EFFECTIVE MANNER. - PROVIDING APPROPRIATE INFORMATIONAL MATERIALS TO LEGISLATORS AND THEIR STAFFS THAT PERTAIN TO MATTERS OF COMMON INTEREST IN THE HEALTH CARE COMMUNITY AND IN THE NOT-FOR-PROFIT COMMUNITY. - PREPARING WRITTEN AND ORAL TESTIMONY, APPEARING AT LEGISLATIVE HEARINGS, MONITORING LEGISLATIVE PROCEEDINGS AND MEETING WITH LEGISLATORS AND/OR THEIR STAFFS REGARDING ISSUES PERTINENT TO THE MISSION OF KFHP. INDIVIDUALS APPEARING AT SUCH HEARINGS AND MEETINGS FOR AND ON BEHALF OF KFHP OFTEN ARE REPRESENTING THE INTERESTS OF COMMON INTEREST GROUPS AS WELL AS THE INTERESTS OF THE MEMBERS AND PATIENTS OF KFHP. OTHER EMPLOYEES AND OFFICERS PERFORM SERVICES BY DELIVERING SPEECHES AT VARIOUS PUBLIC AND PRIVATE FUNCTIONS AND IN SERVING AS FACULTY IN HEALTHCARE RELATED EDUCATIONAL PROGRAMS THROUGHOUT THE COMMUNITY."
370813229,2016,"Schedule C, Part II-A, Line 1b, Column (a) SCH C, PART II-B LINE 1B",THE ONLY COST OF MAILING RELATED TO LOBBYING EXPENSES IS RELATED TO THE COST OF STAMPS. THE TOTAL EXPEDITURES RELATED TO MAILING IS MINOR AND THE ACTUAL DOLLAR AMOUNT IS NOT READILY AVAILABLE.
370813229,2016,"Schedule C, Part II-B, Line 1 DETAILED DESCRIPTION OF THE LOBBYING ACTIVITY","LINE 1I INCLUES LOBBYING EXPENSES PAID TO VARIOUS NATIONAL HEALTH ASSOCIATIONS AS PART OF DUES AND SUBSCRIPTIONS IN THE AMOUNT OF $261,796. LINE 1G INCLUDES DIRECT CONTACT WITH LEGISLATORS, THEIR STAFFS, GOVERNMENT OFFICIALS, AND LEGISLATIVE BODIES RELATING TO THE HOSPITAL, PHYSICIAN PAYMENT REFORM, CRITICAL ACCESS, MDH HOSPITAL RATE PROTECTION, ACO ACTIVITIES AND ADOPTION IN MEDICARE. THIS AMOUNTED TO $400,000."
370813229,2016,"Schedule C, Part II-B, Line 1 DETAILED DESCRIPTION OF THE LOBBYING ACTIVITY","LINE 1I INCLUES LOBBYING EXPENSES PAID TO VARIOUS NATIONAL HEALTH ASSOCIATIONS AS PART OF DUES AND SUBSCRIPTIONS IN THE AMOUNT OF $261,796. LINE 1G INCLUDES DIRECT CONTACT WITH LEGISLATORS, THEIR STAFFS, GOVERNMENT OFFICIALS, AND LEGISLATIVE BODIES RELATING TO THE HOSPITAL, PHYSICIAN PAYMENT REFORM, CRITICAL ACCESS, MDH HOSPITAL RATE PROTECTION, ACO ACTIVITIES AND ADOPTION IN MEDICARE. THIS AMOUNTED TO $400,000."
208534071,2016,"SCHEDULE C, PART II-B, LINE 1",PITTSBURGH UNITED LEGISLATIVE LOBBYING ACTIVITIESFY16-17 ONLY COSTS FOR THAT YEAR WERE DIRECT EXPENSES SUCH AS PARKING AND TRAVEL. LEGISLATIVE ACTIVITY FOCUSED ON A REFERENDUM FOR AN AFFORDABLE HOUSING TRUST FUND.
208295721,2019,Additional Information,"Part I-A UPMC Group Entities do not engage in any direct or indirect political activity. Part II-B UPMC Group maintains a department of government relations whose primary function is to maintain contact with elected and appointed officials at the federal, state, and local levels. The department promotes legislative actions with respect to healthcare related issues that could impact the organization. Part II-B, Line 1D The amount for mailings is not readily quantifiable, however, UPMC recognizes that in the course of business, these expenses may occur."
042774441,2019,"Part II-B, Line 1","Children's Hospital is a section 501(c)(3) organization whose mission is fourfold - to provide the best possible pediatric health care, combining compassion with advanced technical capabilities; to be the leading source of research and discovery, seeking new approaches to the prevention, diagnosis, and treatment of childhood diseases; to educate the next generation of leadership in child health care; and to provide education and healthcare services to the community. In fulfillment of the above mission, the Hospital advocates on behalf of children and the providers who care for them at the State and Federal levels. Professional staff in the Hospital's Office of Government Relations direct these activities and coordinate the work of other Hospital staff who support the advocacy efforts on an intermittent basis. The Hospital has also sent correspondence to and met directly with Federal, State and local legislators and officials. The Hospital has also utilized a grassroots network of employees and friends to advocate on behalf of children's health issues. In Fiscal Year 2020, four Office of Government Relations staff members registered with the State as lobbyists for some or all of the fiscal year, dedicating a portion of their time to lobbying activities. the Hospital also registered its CEO as a lobbyist, although her involvement in these efforts was minimal. Three Office of Government Relations staff members registered as lobbyists at the Federal level. The Hospital utilized the services of two outside consultants in Fiscal Year 2020 in either the Massachusetts General Court or the U.S. Congress. These consultants, on behalf of the Hospital, prepared written materials which are distributed to officials and met with elected and appointed officials. The following is a detailed list of lobbying expenses incurred: Josh Greenberg Registered Lobbyist Children's Hospital personnel $196,875 - Amy DeLong Registered Lobbyist Children's Hospital personnel $56,946 - Sandra Fenwick Registered Lobbyist Children's Hospital personnel $4,188 - Jamie Gaynes Children's Hospital personnel $83,965 - Amara Azabuike Children's Hospital personnel $21,223 - Shannon Moore Children's Hospital personnel $61,507 - Joe Grant Consultant Grant Associates 130 Bowdoin Street - Suite 1706, Boston, MA 02108 $40,000 - Nick Manetto Consultant Faegre BD 1050 K Street NW, Suite 400, Washington, DC 20001 $67,219 Total Lobbyist/Consultant Expenses = $531,923 Expenses Incurred by the Office of Government Relations for Lobbying Activities = $141,427 Grant to National Association of Children's Hospitals for graduate medical education related lobbying - $116,600 TOTAL LOBBYING EXPENSES = $789,950 In addition to Children's Hospital Corporation's direct and listed lobbying expenses, Children's Hospital Corporation pays dues to certain membership organizations, a piece of which may be used by such organizations for lobbying activities on behalf of this institution and other similarly situated organizations. Total direct and indirect lobbying expenditures were minimal and not substantial based on revenues."
231907729,2019,JDRF LOBBYING ACTIVITIES,"FORM 990- SCH-C- GENERAL STATEMENT OF ACTIVITIES JDRF is the leading global organization funding type 1 diabetes (T1D) research, focused on curing T1D and improving lives. JDRF's advocacy includes lobbying activity to ensure Congress continues to invest in critically important medical research and puts in place policies to advance development and access to therapies to cure T1D and help people stay as healthy as possible until that day. JDRF has been instrumental in securing the renewal of the Special Diabetes Program, which provides $150MM annually for T1D research at the National Institutes of Health. JDRF staff and volunteers communicate with government officials through email, phone calls, and meetings, to educate them on issues and encourage the advancement of legislation."
